X,Y,Z,Roll,Pitch,Yaw
6.3529622641509444,-3.54,0.0,0.0,0.0,0.0
6.367443396226415,-3.54,0.0,0.0,0.0,0.0
6.381924528301887,-3.54,0.0,0.0,0.0,0.0
6.39640566037736,-3.54,0.0,0.0,0.0,0.0
6.410886792452831,-3.54,0.0,0.0,0.0,0.0
6.425367924528302,-3.54,0.0,0.0,0.0,0.0
6.439849056603774,-3.54,0.0,0.0,0.0,0.0
6.454330188679245,-3.54,0.0,0.0,0.0,0.0
6.4688113207547175,-3.54,0.0,0.0,0.0,0.0
6.483292452830189,-3.54,0.0,0.0,0.0,0.0
6.49777358490566,-3.54,0.0,0.0,0.0,0.0
6.512254716981133,-3.54,0.0,0.0,0.0,0.0
6.526735849056605,-3.54,0.0,0.0,0.0,0.0
6.5412169811320755,-3.54,0.0,0.0,0.0,0.0
6.555698113207548,-3.54,0.0,0.0,0.0,0.0
6.570179245283019,-3.54,0.0,0.0,0.0,0.0
6.584660377358491,-3.54,0.0,0.0,0.0,0.0
6.599141509433963,-3.54,0.0,0.0,0.0,0.0
6.613622641509434,-3.54,0.0,0.0,0.0,0.0
6.628103773584906,-3.54,0.0,0.0,0.0,0.0
6.642584905660378,-3.54,0.0,0.0,0.0,0.0
6.657066037735849,-3.54,0.0,0.0,0.0,0.0
6.671547169811321,-3.54,0.0,0.0,0.0,0.0
6.686028301886793,-3.54,0.0,0.0,0.0,0.0
6.700509433962265,-3.54,0.0,0.0,0.0,0.0
6.714990566037736,-3.54,0.0,0.0,0.0,0.0
6.729471698113208,-3.54,0.0,0.0,0.0,0.0
6.74395283018868,-3.54,0.0,0.0,0.0,0.0
6.758433962264151,-3.54,0.0,0.0,0.0,0.0
6.772915094339623,-3.54,0.0,0.0,0.0,0.0
6.787396226415094,-3.54,0.0,0.0,0.0,0.0
6.801877358490566,-3.54,0.0,0.0,0.0,0.0
6.816358490566039,-3.54,0.0,0.0,0.0,0.0
6.830839622641509,-3.54,0.0,0.0,0.0,0.0
6.845320754716981,-3.54,0.0,0.0,0.0,0.0
6.859801886792454,-3.54,0.0,0.0,0.0,0.0
6.874283018867925,-3.54,0.0,0.0,0.0,0.0
6.888764150943397,-3.54,0.0,0.0,0.0,0.0
6.903245283018868,-3.54,0.0,0.0,0.0,0.0
6.917726415094339,-3.54,0.0,0.0,0.0,0.0
6.932207547169812,-3.54,0.0,0.0,0.0,0.0
6.946688679245283,-3.54,0.0,0.0,0.0,0.0
6.9611698113207545,-3.54,0.0,0.0,0.0,0.0
6.975650943396227,-3.54,0.0,0.0,0.0,0.0
6.990132075471699,-3.54,0.0,0.0,0.0,0.0
7.00461320754717,-3.54,0.0,0.0,0.0,0.0
7.019094339622642,-3.54,0.0,0.0,0.0,0.0
7.033575471698113,-3.54,0.0,0.0,0.0,0.0
7.048056603773585,-3.54,0.0,0.0,0.0,0.0
7.062537735849057,-3.54,0.0,0.0,0.0,0.0
7.0770188679245285,-3.54,0.0,0.0,0.0,0.0
7.0915,-3.54,0.0,0.0,0.0,0.0
7.105981132075472,-3.54,0.0,0.0,0.0,0.0
7.1204622641509445,-3.54,0.0,0.0,0.0,0.0
7.134943396226415,-3.54,0.0,0.0,0.0,0.0
7.149424528301887,-3.54,0.0,0.0,0.0,0.0
7.16390566037736,-3.54,0.0,0.0,0.0,0.0
7.178386792452831,-3.54,0.0,0.0,0.0,0.0
7.1928679245283025,-3.54,0.0,0.0,0.0,0.0
7.207349056603774,-3.54,0.0,0.0,0.0,0.0
7.221830188679245,-3.54,0.0,0.0,0.0,0.0
7.236311320754718,-3.54,0.0,0.0,0.0,0.0
7.250792452830189,-3.54,0.0,0.0,0.0,0.0
7.26527358490566,-3.54,0.0,0.0,0.0,0.0
7.279754716981133,-3.54,0.0,0.0,0.0,0.0
7.294235849056605,-3.54,0.0,0.0,0.0,0.0
7.308716981132076,-3.54,0.0,0.0,0.0,0.0
7.323198113207548,-3.54,0.0,0.0,0.0,0.0
7.33767924528302,-3.54,0.0,0.0,0.0,0.0
7.352160377358491,-3.54,0.0,0.0,0.0,0.0
7.366641509433963,-3.54,0.0,0.0,0.0,0.0
7.3811226415094335,-3.54,0.0,0.0,0.0,0.0
7.395603773584906,-3.54,0.0,0.0,0.0,0.0
7.410084905660378,-3.54,0.0,0.0,0.0,0.0
7.424566037735849,-3.54,0.0,0.0,0.0,0.0
7.439047169811321,-3.54,0.0,0.0,0.0,0.0
7.453528301886793,-3.54,0.0,0.0,0.0,0.0
7.468009433962266,-3.54,0.0,0.0,0.0,0.0
7.482490566037736,-3.54,0.0,0.0,0.0,0.0
7.496971698113208,-3.54,0.0,0.0,0.0,0.0
7.511452830188679,-3.54,0.0,0.0,0.0,0.0
7.525933962264151,-3.54,0.0,0.0,0.0,0.0
7.5404150943396235,-3.54,0.0,0.0,0.0,0.0
7.554896226415094,-3.54,0.0,0.0,0.0,0.0
7.569377358490566,-3.54,0.0,0.0,0.0,0.0
7.583858490566039,-3.54,0.0,0.0,0.0,0.0
7.598339622641509,-3.54,0.0,0.0,0.0,0.0
7.6128207547169815,-3.54,0.0,0.0,0.0,0.0
7.627301886792454,-3.54,0.0,0.0,0.0,0.0
7.641783018867924,-3.54,0.0,0.0,0.0,0.0
7.656264150943397,-3.54,0.0,0.0,0.0,0.0
